ID;thesis_title;thesis_keywords;student_faculty;student_level;Problématique;interet;Méthode;technologies;description_sujet
15;CONCEPTION ET DIMENSIONNEMENT D’UNE STRUCTURE EN B.A. :CAS D’UN CENTRE DE SANTÉ EN ZONE RURALE;centre de santé,béton armé,zone rurale,structure,dimensionnement,infrastructure sanitaire,génie civil;Genie civil;L3;"""Comment concevoir une structure en béton armé pour un centre de santé qui optimise à la fois le coût et la sécurité dans une zone rurale isolée ?""";Offrir une infrastructure médicale robuste et à bas coût en zone rurale.;Optimisation de la descente de charges et coffrages rationnels.;AutoCAD, Excel (BAEL).;Conception d'un centre de santé sécurisé privilégiant l'efficacité structurelle et financière.
16;Contribution à l’étude des bétons recyclés : impact du mode de mise en œuvre sur leurs performances mécaniques.;béton recyclé,mise en œuvre,performances mécaniques,durabilité,matériaux,génie civil,recyclage;Genie civil;L3;"""Peut-on optimiser la stabilisation des briques en terre pour la construction de logements économiques en utilisant des ressources latéritiques locales ?""";Réduire le coût des matériaux à Goma en recyclant les débris de démolition urbaine.;Analyse comparative des cycles de malaxage et d'influence du compactage sur la porosité.;Presse hydraulique, MATLAB (modélisation), Capteurs de cure.;Recherche sur les protocoles de mise en œuvre pour garantir la résistance des bétons issus du recyclage.
17;Etude d'un Eco-béton à  base de terre stabilisé  au ciment : Application au sol de KATANA(SUD-KIVU);eco‑béton,terre stabilisée,ciment,Katana,Sud‑Kivu,matériaux locaux,durabilité, construction durable;Genie civil;TECH2;"""Comment garantir la stabilité structurelle et l'étanchéité d'un tunnel immergé soumis à des pressions hydrostatiques importantes ?""";Promouvoir l'habitat social durable par l'usage de la terre latéritique locale.;Analyse de la stabilisation physico-chimique (Terre-Ciment-Chaux) et tests de retrait linéaire.;Développement d'un matériau hybride pour réduire le coût de la construction tout en préservant l'environnement à Katana.;Projet de pointe traitant des défis de la construction subaquatique en milieu lacustre profond.
18;Etude en vue du dimensionnement d’un tunnel immergé reliant la Province du Nord-Kivu à celle du Sud Kivu via la localité de Nzulo;tunnel immergé,lac Kivu,Nzulo,infrastructure transport,dimensionnement,génie civil, Nord‑Kivu,Sud‑Kivu;Genie civil;TECH2;"""Comment dimensionner une installation de conservation frigorifique pour minimiser les pertes énergétiques tout en garantissant la sécurité alimentaire ?""";Créer une liaison stratégique sous le lac Kivu pour sécuriser le transport interprovincial.;Analyse de la pression hydrostatique profonde et étude des joints d'étanchéité haute performance.;Plaxis 3D (Géotechnique marine), SAP2000, Simulations CFD (Fluides).;Projet d'infrastructure de pointe traitant des défis de la construction subaquatique et de l'interaction sol-structure en milieu lacustre.
19;Réalisation et dimensionnement d'une mini chambre froide :  cas alimentaire animale;chambre froide,conservation alimentaire,dimensionnement,réfrigération,thermique, alimentation animale,conception;Genie civil;L3;"""Quelles sont les spécificités du dimensionnement des infrastructures ferroviaires pour supporter des convois lourds sur de longues distances ?""";Sécuriser la chaîne de froid pour l'élevage local et réduire le gaspillage alimentaire.;Bilan thermique des parois, calcul de la puissance frigorifique et choix des isolants.;Revit (MEP), Logiciels de calcul thermique, Thermostats connectés.;Conception d'une infrastructure de stockage réfrigérée optimisée pour la conservation des produits d'origine animale.
20;Drainage des eaux pluviales du quartier MABANGA-SUD;drainage urbain,eaux pluviales,assainissement,quartier Mabanga‑Sud, hydrologie, génie civil;Genie civil;TECH2;"""Quelle est l'influence de la disposition des voiles de contreventement sur la réponse dynamique d'un bâtiment R+3 en zone à forte activité sismique ?""";Prévenir les inondations récurrentes et l'érosion des voiries dans le quartier Mabanga-Sud.;Calcul des débits de ruissellement et dimensionnement des collecteurs gravitairement.;AutoCAD Civil 3D, Storm and Sanitary Analysis (SSA), SIG.;Conception d'un réseau d'évacuation gravitaire adapté à la pluviométrie intense et à la topographie de Mabanga-Sud.
21;Conception, Études et réalisation d'un chemin de fer reliant la ville de Goma du territoire de Walikale : 235km;chemin de fer,infrastructure ferroviaire,Goma‑Walikale,235 km,transport,tracé, génie civil;Genie civil;TECH2;"""L'utilisation de cendres de bagasse comme substitut au ciment permet-elle de produire des briques en terre stabilisée conformes aux normes de construction ?""";Désenclaver Walikale pour faciliter l'évacuation des minerais et des produits agricoles.;Étude du tracé ferroviaire, calcul de la superstructure (rails/ballast) et des ouvrages d'art.;Bentley OpenRail, Robot Structural Analysis, Global Mapper.;Projet d'infrastructure ferroviaire majeure de 235km traitant des défis du relief et de la portance des sols.
22;INFLUENCE DE LA PERFORMANCE DES JOINTS PARASSISMIQUES ET DE CONTREVENTEMENT SUR UNE STRUCTURE DE FORME REGULIERE DANS LA VILLE DE GOMA : APPLICATION A UNE STRUCTURE R+3 SERVANT DE PRISON;joints parasismiques,contreventement,sismique,béton armé,structure régulière, prison R+3,Goma;Genie civil;TECH2;"""Comment évaluer la vulnérabilité sismique de bâtiments résidentiels existants sur des sols à faible capacité portante pour proposer des renforcements adaptés ?""";Garantir la sécurité structurelle des bâtiments pénitentiaires face aux séismes de Goma.;Analyse de l'entrechoquement des blocs et dimensionnement des joints de rupture sismique.;ETABS, SAP2000, Normes parasismiques.;Étude de l'impact des joints de dilatation et de contreventement sur la réponse dynamique d'une structure régulière.
23;Évaluation de la performance mécanique des briques en terre stabilisée avec ce+B41+B29:D41+B29:E41+B41+B29:D41+B29:G41+B29:F41+B29:F42+B29:B29:F42;brique terre stabilisée,cendre bagasse,ciment,matériaux locaux,performance mécanique,durabilité;Genie civil;TECH2;"""Dans quelle mesure l'incorporation de cendres de bagasse comme substitut au ciment influence-t-elle la résistance mécanique et la durabilité des briques en terre ?""";Valoriser les déchets industriels (bagasse) pour créer des matériaux de construction écologiques.;Essais de compression et de durabilité sur des briques stabilisées au ciment et cendres.;Presse hydraulique, MATLAB (analyse des résultats), Labo géotechnique.;Recherche expérimentale visant à optimiser la résistance des briques en terre par l'ajout de cendres de bagasse.
24;Etude de la vulnerabilite sismique des batiments residentiels a Goma et propositions de solutions techniques de renforcement adaptées;vulnérabilité sismique,bâtiments résidentiels,Goma,renforcement structurel,génie civil,risque sismique;Genie civil;TECH2;"""Comment évaluer le degré de vulnérabilité structurelle des bâtiments existants face aux risques sismiques locaux pour proposer des stratégies de renforcement adaptées ?""";Réduire les risques de pertes humaines par le renforcement des maisons existantes.;Évaluation par indice de vulnérabilité et proposition de solutions de chemisage ou renforcement.;SAP2000, Sismographes, Fiches d'inspection technique;Diagnostic structurel du parc résidentiel de Goma et guide technique de réhabilitation parasismique.
25;ÉTUDE DU COMPORTEMENT DYNAMIQUE D’UN BÂTIMENT SUR UN SITE À RISQUE VOLCANIQUE ET SISMIQUES: APPLICATION À LA VILLE DE GOMA;"comportement dynamique,bâtiment,site volcanique,sismique,Goma; analyse structurale";Genie civil;TECH2;"""Comment modéliser l'interaction entre les ondes sismiques et une structure implantée sur un sol basaltique/volcanique pour garantir sa stabilité dynamique ?""";Adapter les structures de Goma aux doubles contraintes de secousses et de sols basaltiques.;Analyse modale et simulation de l'interaction sol-structure (ISS).;Robot Structural Analysis, Plaxis, Accélérogrammes réels.;Modélisation avancée de la réponse d'un bâtiment face aux ondes sismiques en milieu volcanique.
26;"Modélisation par éléments finis de la
liquéfaction des sols sous chargements
sismiques : application à la ville de Bukavu";liquéfaction des sols,éléments finis,sismique,Bukavu,géotechnique,chargements dynamiques;Genie civil;TECH2;"""Comment utiliser la simulation numérique pour prédire le risque de liquéfaction des sols saturés sous sollicitations sismiques et prévenir l'effondrement des fondations ?""";Prévenir l'effondrement des fondations à Bukavu dû à la perte de résistance des sols saturés.;Modélisation numérique du potentiel de liquéfaction et analyse des pressions de pores.;PLAXIS 2D/3D, ABAQUS, Essais SPT/CPT.;Simulation par éléments finis pour prédire le risque de liquéfaction des sols de Bukavu sous séisme.
27;"Analyse sismique comparative des structures en
portique et en structures en voiles en béton armé : application à un bâtiment R+7 à usage administratif.";analyse sismique comparative,portiques,voiles en béton armé,bâtiment R+7,usage administratif,parasismique;Genie civil;TECH2;"""Quelle est l'influence de la rigidité des voiles en béton armé sur la redistribution des efforts dans les structures portiques soumises à des secousses sismiques ?""";Déterminer le système structurel le plus efficace pour les immeubles de bureaux R+7 à Goma.;Comparaison des déplacements inter-étages et des sollicitations entre portiques et voiles.;ETABS, Advance Design, AutoCAD.;Étude comparative visant à optimiser le contreventement d'un bâtiment administratif R+7 en zone sismique.
28;Étude du comportement sismique des bâtiments en béton armé à Goma, modélisation et optimisation des contreventements. Application sur un bâtiment R+7 à usage administratif;bâtiments béton armé,comportement sismique,contreventement,portiques,Goma, optimisation structurale;Genie civil;TECH2;"""Comment optimiser la configuration du contreventement pour limiter les déplacements inter-étages et les dommages structurels lors d'un séisme majeur ?""";Affiner la configuration des murs de cisaillement pour minimiser le coût et maximiser la sécurité.;Optimisation de l'emplacement des voiles de contreventement.;ETABS, Robot Structural Analysis, Excel (Optimiseur).;Recherche sur la disposition optimale des éléments porteurs pour stabiliser un immeuble R+7 à Goma.
29;Étude du comportement à long terme des sols sous charges permanentes : application à la stabilité des fondations des bâtiments;sols compressibles,charges permanentes,fluage,stabilité fondations,génie géotechnique;Genie civil;TECH2;"""Comment prédire l'évolution des tassements de consolidation à long terme des structures fondées sur des sols compressibles sous l'effet de charges constantes ?""";Prévenir les tassements excessifs qui causent des fissures dans les grands édifices de Goma.;Modélisation du fluage et consolidation primaire/secondaire des sols compressibles.;Plaxis 2D/3D, Oedomètre automatique, Python (modélisation prédictive).;Analyse géotechnique approfondie de l'évolution des tassements sur 20 ans pour garantir la stabilité structurelle.
30;"DRAINAGE DES EAUX PLUVIALES 
STAGNANTS SUR LES VOIES 
PUBLIQUES EN VILLE DE GOMA « CAS 
DU TRONCON VISION 20-20 KIHISI »";drainage eaux pluviales,voies publiques,tronçon Vision 20‑20,Kihisi,Goma assainissement urbain;Genie civil;TECH2;"""Comment concevoir un exutoire et un réseau de drainage capables d'évacuer durablement les eaux stagnantes dans les zones de cuvettes topographiques urbaines ?""";Éradiquer les poches d'eau qui détruisent la chaussée au niveau du tronçon Vision 20-20 à Kihisi.;Modélisation hydraulique de surface et conception de bassins de rétention optimisés.;Autodesk InfoDrainage, Civil 3D, Storm and Sanitary Analysis (SSA).;Conception d'un système d'assainissement routier durable pour éliminer la stagnation des eaux en zone urbaine.
31;"Amélioration parasismique des structures en zone tropicale par l’utilisation des matériaux locaux et des fibres naturelles : Cas d’étude dans une région sismique d’Afrique centrale; précisément en GOMA";structures parasismiques,matériaux locaux,fibres naturelles,zone tropicale,Goma, sismique,génie civil;Genie civil;TECH2;"""Dans quelle mesure l'intégration de matériaux locaux et biosourcés peut-elle améliorer la résilience et la capacité d'absorption d'énergie des structures en zone sismique ?""";Réduire la vulnérabilité sismique du Nord-Kivu avec des matériaux écologiques et accessibles.;Modélisation non-linéaire de béton renforcé par fibres végétales et essais de ductilité.;SAP2000, Abaqus (User Subroutines), Machine d'essais universelle.;Étude expérimentale et numérique de l'apport des fibres naturelles dans la résistance aux séismes.
32;Optimisation du choix du type de fondation pour la stabilité d’un pont mixte acier-béton sur sol instable : Cas du pont Makelele, territoire de Kalehe.;pont mixte acier‑béton,fondations,sol instable,stabilité,Makelele,Kalehe,génie civil;Genie civil;TECH2;"""Quels sont les critères décisionnels techniques et économiques pour choisir le système de fondation le plus stable sur un sol instable pour un pont mixte ?""";Assurer le désenclavement de Kalehe par un pont résistant aux sols instables.;Analyse multicritère (AHP) entre fondations profondes et semi-profondes sur sol mou.;Robot Structural Analysis, Midas Civil, Plaxis 3D.;Conception structurelle et géotechnique d'un pont mixte acier-béton optimisée pour les sols de Kalehe.
33;ETUDES TECHNIQUES D'IMPERMEABILISATION DES BASSINS DE COLLECTE DES EAUX DE RUISSELLEMENT;bassins de collecte,eaux de ruissellement,étanchéité,durabilité,génie civil, gestion eaux pluviales;Genie civil;TECH2;"""Quelles techniques d'imperméabilisation par géomembranes ou traitements chimiques sont les plus efficaces pour stopper l'érosion interne des bassins de collecte ?""";Protéger les nappes phréatiques et optimiser le stockage des eaux de ruissellement à Goma.;Analyse de l'étanchéité par géomembranes vs argiles compactées et tests de perméabilité.;Hec-Ras, AutoCAD, Essais de perméabilité in-situ.;Étude technique des dispositifs d'étanchéité pour la gestion efficace et durable des eaux pluviales.
34;ÉVALUATION EXPERIMENTALE DE LA PERFORMANCE DES FONDATIONS SUR PIEUX DANS UN SOL SOUMIS A L’EROSION : CAS DE LA ZONE DE KARHALE A BUKAVU”;fondations sur pieux,érosion,Karhale,Bukavu,essais géotechniques, capacité portante;Genie civil;TECH2;"""Comment l'érosion régressive des sols influence-t-elle la capacité portante limite et le frottement latéral des pieux fondés dans des zones de glissement ?""";Sécuriser les bâtiments sur les collines érodées de Bukavu (Karhale) pour éviter les effondrements.;Analyse de la réduction de la capacité portante latérale des pieux due au déchaussement.;Settle3, Capteurs de pression, Modélisation par éléments finis.;Recherche expérimentale sur l'interaction sol-pieux dans les zones de Bukavu soumises à l'érosion.
35;ANALYSE COMPARATIVE ET OPTIMISATION DES SOLUTIONS D'AMORTISSEMENT SISMIQUE PASSIVES ET POTENTIELLEMENT ACTIVES POUR LES BATIMENTS DE GRANDE HAUTEUR A GOMA : CAS D'UN BATIMENT R+9 A USAGE COMMERCIAL.;amortisseurs sismiques,solutions passives,solutions actives,bâtiments grande hauteur,Goma,optimisation;Genie civil;TECH2;"""Quelle est l'efficacité comparée des solutions d'amortissement passives et actives pour limiter les accélérations structurelles des bâtiments de grande hauteur ?""";Introduire des technologies de pointe pour protéger les immeubles de grande hauteur à Goma.;Simulation dynamique avec amortisseurs à masse accordée vs isolateurs de base.;ETABS (Nonlinear), MATLAB/Simulink, SAP2000.;Étude comparative de systèmes d'amortissement avancés pour minimiser les accélérations en zone sismique.
36;ÉVALUATION DE LA DURABILITÉ A LONG TERME DE STRUCTURES EN BTC STABILISE SOUMISES AUX CONDITIONS CLIMATIQUES DE LA RÉGION DU NORD-KIVU : FOCUS SUR L’IMPACT DE L’ÉROSION HYDRIQUE ET ÉOLIENNE SUR LA STABILITÉ DU SOL;BTC stabilisé,conditions climatiques Nord‑Kivu,érosion hydrique,érosion éolienne, durabilité,stabilité du sol;Genie civil;TECH2;"""Comment les cycles d'érosion hydrique et éolienne en climat tropical influencent-ils la stabilité mécanique à long terme des blocs de terre comprimée ?""";Valider le Bloc de Terre Comprimée (BTC) comme solution pérenne face à l'érosion hydrique.;Simulation de vieillissement accéléré et tests de résistance après cycles d'humidification-séchage.;MATLAB (modélisation d'érosion), Presse à briques, Logiciels d'analyse d'image.;Étude de l'impact des pluies acides et du vent sur la stabilité mécanique des structures en BTC au Nord-Kivu.
37;Étude comparative de construction de route en chaussée souple et en chaussée rigide : cas du tronçon EP Byayi-Kitrenti; chaussée souple, chaussée rigide, route, étude comparative, tronçon EP Byayi-Kitrenti, génie civil, dimensionnement, matériaux routiers;Genie civil;TECH2;"""Quelle structure de chaussée présente la meilleure réponse mécanique et durabilité face à l'augmentation du trafic lourd sur un tronçon suburbain ?""";Choisir la variante routière la plus rentable et durable pour le trafic lourd à Kitrenti.;Dimensionnement selon la méthode Alizé (chaussée souple) vs méthode rigide (béton).;Alizé-LCPC, AutoCAD Civil 3D, Logiciels d'analyse de coûts de cycle de vie.;Analyse technico-économique et structurelle pour déterminer le meilleur revêtement routier pour le tronçon Byayi-Kitrenti.
38;"Conception d'un bâtiment parasismique en béton renforcé de fibres naturelles locales : étude 
expérimentale et modélisation.";bâtiment parasismique, béton armé, fibres naturelles locales, matériaux locaux, résistance sismique, étude expérimentale, modélisation;Genie civil;TECH2;"""Dans quelle mesure l'incorporation de fibres naturelles locales améliore-t-elle la ductilité et la résistance à la fissuration des structures en béton armé ?""";Innover dans la construction R+2 à Goma en utilisant des fibres locales pour la ductilité;Modélisation par éléments finis du comportement hybride béton-fibres et tests de flexion.;Abaqus, Robot Structural Analysis, Analyse statistique R.;Conception d'un prototype de bâtiment utilisant des fibres naturelles pour améliorer la résilience sismique.
39;Analyse statique et dynamique d’un terminal d’aéroport à Goma;terminal d’aéroport, Goma, analyse statique, analyse dynamique, structure en béton armé, calcul sismique;Genie civil;TECH2;"""Comment modéliser le comportement dynamique d'une structure aéroportuaire de grande portée pour prévenir les phénomènes de résonance sous sollicitations";Doté Goma d'un terminal aéroportuaire moderne, sûr et résistant aux vibrations d'aéronefs.;Analyse modale, étude des effets du vent sur les grandes portées et calcul sismique.;SCIA Engineer, Tekla Structures, ETABS.;Modélisation complète d'une structure aéroportuaire de grande portée intégrant les charges statiques et dynamiques.
40;Comparaison de la performance des granulats recyclés et naturels dans la fabrication de béton non armé;granulats recyclés, granulats naturels, béton non armé, performances mécaniques, durabilité des matériaux, recyclage;Genie civil;TECH2;"""Quelle est l'influence du taux de substitution des granulats naturels par des granulats recyclés sur le module d'élasticité et le retrait du béton non armé ?""";Promouvoir l'économie circulaire à Goma en recyclant les débris de démolition pour de nouveaux ouvrages.;Essais comparatifs de résistance à la compression et analyse du module d'élasticité.;Presse hydraulique, MATLAB (traitement statistique), Balance de précision.;Étude expérimentale sur la viabilité du béton de recyclage pour des éléments structurels non porteurs.
41;Analyse de l'impact des techniques de constructions parasismiques sur la  résilience des batiments résidentiels en zone sismique de l'Est de la RDC;constructions parasismiques, bâtiments résidentiels, zone sismique, Est de la RDC, résilience structurelle, renforcement des structures;Genie civil;TECH2;"""Comment l'application des normes de construction parasismique actuelles peut-elle réduire la vulnérabilité des bâtiments résidentiels en zone de forte sismicité ?""";Augmenter la durée de vie des habitations à l'Est de la RDC face aux activités tectoniques.;Évaluation de la ductilité des structures et analyse de la capacité de dissipation d'énergie.;SAP2000, Logiciels d'analyse de risques, Sismographes.;Recherche sur l'efficacité des normes parasismiques actuelles pour réduire la vulnérabilité du parc immobilier.
42;Conception et dimensionnement d’un système intégré de collecte, de traitement et de valorisation des eaux pluviales et usées domestiques en milieu urbain à forte vulnérabilité : cas de la ville de Goma.;collecte des eaux pluviales, traitement des eaux usées, valorisation des eaux, milieu urbain vulnérable, Goma, assainissement urbain, dimensionnement du système;Genie civil;TECH2;"""Comment concevoir une filière intégrée permettant la collecte, le traitement et la valorisation des eaux pluviales et usées dans un milieu urbain à forte densité ?""";Résoudre les problèmes d'inondation tout en créant une ressource en eau pour les ménages de Goma.;Bilan hydrologique urbain et dimensionnement de stations de traitement décentralisées.;EPA-SWMM, Bentley SewerGEMS, AutoCAD.;Projet d'ingénierie environnementale intégrant la collecte et la transformation des eaux usées en milieu urbain dense.
43;Étude comparative des propriétés mécaniques du béton fait à base du ciment Cimerwa et Prime cement ;béton, ciment Cimerwa, ciment Prime, propriétés mécaniques, résistance à la compression, étude comparative;Genie civil;TECH2;"""Quelles sont les variations de cinétique de prise et de résistance finale à la compression entre deux types de ciments locaux pour un même dosage ?""";Aider les constructeurs locaux à choisir le liant le plus performant et économique sur le marché.;Tests de cinétique de prise et comparaison de la résistance finale à la compression).;Presse à béton, Chronomètres de prise (Vicat), Excel (Corrélation).;Analyse comparative de la qualité mécanique des deux ciments les plus utilisés dans la région de Goma.
